recipe_name,meal_type,dietary_category,ingredients,equipment_needed,nutritional_information,instructions,allergens,prep_time_minutes
Avocado Toast,Dinner,Paleo,"egg, salmon, mushroom, quinoa, carrot","Microwave, Blender","684 kcal, Protein: 23.4g, Carbs: 73.9g, Fats: 22.1g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Soy, Dairy",30
Smoothie Bowl,Lunch,Keto,"rice, egg, tofu, tomato, salmon","Instant Pot, Oven","336 kcal, Protein: 19.0g, Carbs: 14.8g, Fats: 29.0g",1. Wash and prep all ingredients. 2. Heat Oven and start cooking. 3. Combine everything and serve hot.,"Eggs",39
Greek Salad,Breakfast,Gluten-Free,"bell pepper, egg, cheese, tofu, chicken","Air Fryer, Instant Pot","288 kcal, Protein: 35.5g, Carbs: 52.4g, Fats: 7.3g",1. Wash and prep all ingredients. 2. Heat Instant Pot and start cooking. 3. Combine everything and serve hot.,Shellfish,48
Chicken Stir-Fry,Dinner,Gluten-Free,"avocado, carrot, egg, onion, cucumber","Instant Pot, Stove","259 kcal, Protein: 26.0g, Carbs: 35.4g, Fats: 25.2g",1. Sauté ingredients on Stove. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Soy, Shellfish",33
Pancakes,Dinner,Vegan,"tomato, carrot, onion, avocado, garlic","Stove, Grill","538 kcal, Protein: 34.5g, Carbs: 10.5g, Fats: 16.1g",1. Blend all ingredients using Stove. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Dairy,43
Lentil Soup,Breakfast,Gluten-Free,"rice, broccoli, bell pepper, milk, cheese","Grill, Air Fryer","519 kcal, Protein: 32.5g, Carbs: 29.3g, Fats: 27.5g",1. Boil water and add cheese. 2. Stir occasionally using Air Fryer. 3. Drain and plate beautifully.,"Gluten, Eggs",57
Mushroom Risotto,Dinner,Gluten-Free,"egg, beans, quinoa, bell pepper, avocado","Blender, Stove","476 kcal, Protein: 29.3g, Carbs: 30.4g, Fats: 29.1g",1. Blend all ingredients using Stove. 2. Chill for 10 minutes. 3. Enjoy a refreshing meal.,Soy,20
Mushroom Risotto,Lunch,Gluten-Free,"chicken, spinach, tofu, kale, tomato","Grill, Blender","535 kcal, Protein: 22.8g, Carbs: 52.0g, Fats: 28.7g",1. Sauté ingredients on Grill. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,None,42
Falafel Wrap,Lunch,Gluten-Free,"chicken, mushroom, bell pepper, beans, onion","Blender, Microwave","622 kcal, Protein: 24.6g, Carbs: 48.2g, Fats: 34.8g",1. Sauté ingredients on Blender. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Dairy, Soy",10
Chicken Stir-Fry,Breakfast,Paleo,"cheese, quinoa, egg, broccoli, kale","Oven, Microwave","510 kcal, Protein: 18.4g, Carbs: 35.6g, Fats: 16.5g",1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.,"Dairy, Shellfish",30
